City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Micheweni,TZ,2022-12-20 00:05:29,-4.9667,39.8333,80.46,77,76,12.48
163,Lamar,US,2022-12-20 00:05:29,33.6668,-95.5836,45.36,75,100,10.36
164,Ketchikan,US,2022-12-20 00:00:54,55.3422,-131.6461,10.11,58,0,4.97
165,Lebu,CL,2022-12-20 00:05:30,-37.6167,-73.65,57.36,75,65,6.93
166,Alugan,PH,2022-12-20 00:05:30,12.2188,125.4808,78.4,83,100,13.58
167,Wanning,CN,2022-12-20 00:05:31,18.8003,110.3967,66.43,86,100,6.89
168,Trinidad,BO,2022-12-20 00:05:31,-14.8333,-64.9,70.25,99,100,1.88
169,Muzhi,RU,2022-12-20 00:05:32,65.3667,64.6667,5.43,93,100,19.24
170,Pevek,RU,2022-12-20 00:05:32,69.7008,170.3133,18.59,59,0,9.17
171,Morgan City,US,2022-12-20 00:05:32,29.6994,-91.2068,48.0,93,100,14.97
172,Bestobe,KZ,2022-12-20 00:05:33,52.4994,73.0975,22.01,73,100,21.85
173,Menongue,AO,2022-12-20 00:05:33,-14.6585,17.691,63.88,77,46,6.53
174,Taoudenni,ML,2022-12-20 00:05:34,22.6783,-3.9836,65.7,32,0,13.87
175,Ovre Ardal,NO,2022-12-20 00:05:34,61.3167,7.8,27.68,95,100,6.2
176,Victor Harbor,AU,2022-12-20 00:05:35,-35.5667,138.6167,81.68,49,91,13.29
177,Igarka,RU,2022-12-20 00:05:35,67.4667,86.5833,-24.12,100,100,4.92
178,Camacha,PT,2022-12-20 00:05:36,33.0833,-16.3333,63.82,88,75,2.3
179,Alindao,CF,2022-12-20 00:05:36,5.0267,21.2088,75.67,36,82,1.59
180,Bethel,US,2022-12-20 00:03:33,41.3712,-73.414,33.91,66,0,11.5
181,Rocha,UY,2022-12-20 00:01:28,-34.4833,-54.3333,63.72,93,38,8.19
182,Brigantine,US,2022-12-20 00:05:37,39.4101,-74.3646,33.03,64,0,11.5
183,Sao Filipe,CV,2022-12-20 00:05:37,14.8961,-24.4956,76.82,59,25,12.26
184,Palmer,US,2022-12-20 00:05:38,42.1584,-72.3287,34.07,70,20,14.97
185,Cayenne,GF,2022-12-20 00:05:38,4.9333,-52.3333,78.84,83,75,6.91
186,Homa Bay,KE,2022-12-20 00:05:38,-0.5273,34.4571,68.16,77,77,2.68
187,Ilulissat,GL,2022-12-20 00:05:39,69.2167,-51.1,23.02,39,11,8.05
188,Fortuna,US,2022-12-20 00:05:39,40.5982,-124.1573,50.94,76,0,0.0
189,Bambous Virieux,MU,2022-12-20 00:05:40,-20.3428,57.7575,76.21,74,40,10.18
